2016-04-25 12:12:51am  -  select * from fn_pedidosdescartaborrado_insert(909,1) AS retorno;
2016-04-25 11:27:16pm  -  select * from fn_pedidostodos_select() WHERE estatuspedido !=99 AND extract(month from fechapedido) IN (3) AND extract(YEAR from fechapedido) IN (2016) ORDER BY fechapedido,foliopedido;
2016-04-25 11:28:01pm  -  select * from fn_pedidostodos_select() WHERE estatuspedido !=99 AND extract(month from fechapedido) IN (2) AND extract(YEAR from fechapedido) IN (2016) ORDER BY fechapedido,foliopedido;
2016-04-25 11:49:44pm  -  select * from fn_invent_select(239:: BIGINT);
2016-04-25 11:49:47pm  -  select * from fn_invent_select(670:: BIGINT);
2016-04-25 11:49:55pm  -  select * from fn_cte_select(273::BIGINT);
2016-04-25 11:49:55pm  -  select * from fn_direccionpedidoscliente_select(273::bigint);
2016-04-25 11:49:55pm  -  select * from fn_cte_select('6673304544'::bpchar);
2016-04-25 11:49:55pm  -  select * from fn_direccionpedidoscliente_select(273::bigint);
2016-04-25 11:49:58pm  -  select * from fn_dir_select(80247,459::bigint);
2016-04-25 11:50:01pm  -  select * from fn_cte_insert('MIGUEL ANGEL','SANCHEZ','','6673304544') AS retorno;
2016-04-25 11:50:01pm  -  select * from fn_direccionpedidos_insert('MARIANO AZUELA'::VARCHAR,''::VARCHAR,'5612'::VARCHAR,'459 - 7 Gotas -  Culiacan'::VARCHAR,80247::INTEGER,''::VARCHAR,'ENTRE: AROLLO Y LABASTIDA OCHOA'::VARCHAR,'SINALOA'::VARCHAR,'Culiacan'::VARCHAR) AS retorno;
2016-04-25 11:50:02pm  -  select * from fn_articulospedidos_insert(910::BIGINT,670::BIGINT,1::INTEGER,'') AS retorno;
2016-04-25 11:50:02pm  -  select * from fn_pedidos_insert(273,331,910,'2016-04-25'::DATE,'2016-04-26'::DATE,0,'','',1,1,'',0,0,0,0,0) AS retorno;
2016-04-25 11:50:02pm  -  select COUNT(foliopedido) AS retorno from fn_pedidospendientescapturadoshoyparahoy_select() WHERE foliopedido = 910;
2016-04-25 11:50:16pm  -  select * from fn_pedidospendientes_select() WHERE foliopedido = 910;
2016-04-25 11:50:16pm  -  select * from fn_articulospedidos_select(910);
2016-04-25 11:50:31pm  -  select * from fn_articulospedidoshist_insert(910) AS retorno;
2016-04-25 11:50:31pm  -  select * from fn_abonospagos_insert(910,1500,'ADMINISTRADOR INICIAL',1) AS retorno;
2016-04-25 11:56:18pm  -  select * from fn_abonospagosdetalle_select(906) ORDER BY fechaabono ASC;
2016-04-25 11:56:24pm  -  select * from fn_abonospagosdetalle_select(904) ORDER BY fechaabono ASC;
2016-04-25 11:56:29pm  -  select * from fn_abonospagosdetalle_select(506) ORDER BY fechaabono ASC;
2016-05-26 01:15:18am  -  select * from fn_pedidostodos_select() WHERE estatuspedido !=99 AND extract(month from fechapedido) IN (5) AND extract(YEAR from fechapedido) IN (2016) ORDER BY fechapedido,foliopedido;
2016-05-29 07:16:11pm  -  select * from fn_cte_select(250::BIGINT);
2016-05-29 07:16:11pm  -  select * from fn_cte_select('6671900017'::bpchar);
2016-05-29 07:16:11pm  -  select * from fn_direccionpedidoscliente_select(250::bigint);
2016-05-29 07:16:12pm  -  select * from fn_direccionpedidoscliente_select(250::bigint);
2016-05-29 07:23:15pm  -  select * from fn_cte_select(271::BIGINT);
2016-05-29 07:23:15pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:23:16pm  -  select * from fn_cte_select('6673177693'::bpchar);
2016-05-29 07:23:16pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:23:19pm  -  select * from fn_dir_select(80247,455::bigint);
2016-05-29 07:27:40pm  -  select * from fn_cte_select(271::BIGINT);
2016-05-29 07:27:40pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:27:40pm  -  select * from fn_cte_select('6673177693'::bpchar);
2016-05-29 07:27:40pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:28:01pm  -  select * from fn_dir_select(0,407::bigint);
2016-05-29 07:28:20pm  -  select * from fn_cte_insert('JESUS ANTONIO','BASTIDAS LOPEZ','','6673177693') AS retorno;
2016-05-29 07:28:20pm  -  select * from fn_direccionpedidos_insert('CIRCUITO DE LAS HORTENCIAS'::VARCHAR,''::VARCHAR,'1720'::VARCHAR,'407 - Colinas Del Bosque -  Culiacan'::VARCHAR,80197::INTEGER,''::VARCHAR,'CASA A MEDIA CUADRA'::VARCHAR,'SINALOA'::VARCHAR,'Culiacan'::VARCHAR) AS retorno;
2016-05-29 07:28:36pm  -  select * from fn_cte_select(271::BIGINT);
2016-05-29 07:28:37pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:28:49pm  -  select * from fn_cte_select(271::BIGINT);
2016-05-29 07:28:50pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:29:36pm  -  select * from fn_cte_select(271::BIGINT);
2016-05-29 07:29:36pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:29:37pm  -  select * from fn_cte_select('6673177693'::bpchar);
2016-05-29 07:29:37pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:30:34pm  -  select * from fn_cte_select(271::BIGINT);
2016-05-29 07:30:34pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:30:34pm  -  select * from fn_cte_select('6673177693'::bpchar);
2016-05-29 07:30:35pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
2016-05-29 07:31:31pm  -  select * from fn_cte_select(271::BIGINT);
2016-05-29 07:31:31pm  -  select * from fn_direccionpedidoscliente_select(271::bigint);
