2016-02-23 04:59:15pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 04:59:15pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:07:27pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:07:27pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:09:48pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:09:48pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:10:44pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:10:44pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:14:56pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:14:56pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:15:36pm  -  select * from fn_pedidosabonado_select() WHERE foliopedido = 125;
2016-02-23 05:15:36pm  -  select * from fn_articulospedidos_select(125);
2016-02-23 05:19:25pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:19:25pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:21:11pm  -  select * from fn_pedidosabonado_select() WHERE foliopedido = 4;
2016-02-23 05:21:11pm  -  select * from fn_articulospedidos_select(4);
2016-02-23 05:21:19pm  -  select * from fn_pedidosabonado_select() WHERE foliopedido = 4;
2016-02-23 05:21:19pm  -  select * from fn_articulospedidos_select(4);
2016-02-23 05:22:16pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:22:16pm  -  select * from fn_articulospedidos_select(4);
2016-02-23 05:23:39pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:23:39pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:25:08pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:25:08pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:27:28pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:27:29pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:29:04pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:29:04pm  -  select * from fn_articuloscotizacion_select(4);
2016-02-23 05:31:32pm  -  select * from fn_cotizacionpendientes_select(4);
2016-02-23 05:31:32pm  -  select * from fn_articuloscotizacion_select(4);
